model,feature_mode,n_features,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_f1_macro,test_f1_weighted
gradient_boosting,morphological,282,0.6534418012487341,0.016999024394836026,0.8385542168674699,0.734805002664395,0.8378465892534098
extra_trees,morphological,282,0.6555278288698856,0.015050821587426377,0.8385542168674699,0.7337956876224452,0.8370314916985847
rbf_svm,morphological,282,0.6478364234487924,0.009447151649082053,0.8361445783132531,0.7320388846047399,0.8350528366814111
random_forest,morphological,282,0.6316669310467089,0.026752822834538337,0.8216867469879519,0.7192682973592064,0.8204812011646623
linear_svm,morphological,282,0.5602890722445957,0.003655661191276749,0.7469879518072289,0.654619595290061,0.7464162892782196
logistic_regression,morphological,282,0.5785374350866845,0.013358021531357733,0.7397590361445783,0.6479575603602366,0.7387987818082681
knn,morphological,282,0.5342776329175004,0.0029379173465712283,0.727710843373494,0.638234920625876,0.7278326021650773
