model,feature_mode,n_features,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_f1_macro,test_f1_weighted
gradient_boosting,frequency,212,0.7696942077183366,0.012749237111309375,0.927710843373494,0.9367678872883931,0.9275437476114674
rbf_svm,frequency,212,0.7810634142903452,0.00809782872345055,0.9204819277108434,0.8066440614582353,0.9192947074236318
random_forest,frequency,212,0.7532177678472975,0.010283211112409596,0.9108433734939759,0.7981363158278919,0.9096252364130835
extra_trees,frequency,212,0.7582160913932648,0.012155923294513538,0.9060240963855422,0.794180773272926,0.9050831859608566
logistic_regression,frequency,212,0.7789276239756528,0.005250372823751515,0.9036144578313253,0.7917406255983526,0.9020811413537886
linear_svm,frequency,212,0.7704366858597484,0.004200801342154059,0.891566265060241,0.7821277096669774,0.8911834345607085
knn,frequency,212,0.697701866719743,0.002283127576966304,0.8337349397590361,0.7303863638822438,0.8319777479468441
