model,feature_mode,n_features,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_f1_macro,test_f1_weighted
rbf_svm,color,382,0.7803197552364944,3.4054883427725446e-05,0.9397590361445783,0.8236526464754579,0.9386355698077153
gradient_boosting,color,382,0.778257756660724,0.009467260192122573,0.927710843373494,0.8125540162055316,0.9261614744559349
extra_trees,color,382,0.774243737674144,0.011280783787660953,0.9204819277108434,0.8062339512937571,0.9190015377229067
random_forest,color,382,0.7683538253192373,0.0007214317567653117,0.9060240963855422,0.7933941589020599,0.9045124647466829
logistic_regression,color,382,0.7675584894244677,0.002562998183567866,0.8963855421686747,0.7860185372107187,0.8957411811297284
linear_svm,color,382,0.7372873262788073,0.002900416062492084,0.8771084337349397,0.769744226398646,0.8773796630281483
knn,color,382,0.6686585644135628,0.0016588057017772329,0.8168674698795181,0.7152449446338813,0.8154620074412737
