model,feature_mode,n_features,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_f1_macro,test_f1_weighted
gradient_boosting,color+frequency,587,0.7919941233854371,0.0006210953086263071,0.9566265060240964,0.8382891904364366,0.9553789390008472
rbf_svm,color+frequency,587,0.7961830469725195,0.007316804410153754,0.9542168674698795,0.8363847566065555,0.9532801835088354
logistic_regression,color+frequency,587,0.7930225501207169,0.0037777816575306766,0.9421686746987952,0.82551877148574,0.9407950322461117
random_forest,color+frequency,587,0.7881947465252246,0.006301273459671408,0.927710843373494,0.8132213118929823,0.9266665096860514
extra_trees,color+frequency,587,0.7892185943783161,0.007248093873236827,0.9228915662650602,0.8092111324735733,0.9221477624062107
linear_svm,color+frequency,587,0.7629471388635254,0.005019355248259694,0.9132530120481928,0.8003573195810039,0.9119781102431705
knn,color+frequency,587,0.7128725721193381,0.005227559652682123,0.8481927710843373,0.742672645282032,0.8465434218277408
