model,feature_mode,n_features,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_f1_macro,test_f1_weighted
rbf_svm,color+morphological,657,0.7842477858623753,0.0026237505337280975,0.9373493975903614,0.8214326221012357,0.936292652918957
gradient_boosting,color+morphological,657,0.7725369060723555,0.004795160823963751,0.9373493975903614,0.8209723040952439,0.9359702363050535
logistic_regression,color+morphological,657,0.765697735829558,0.006561084587145605,0.9180722891566265,0.8051041501926691,0.9174494279369584
extra_trees,color+morphological,657,0.7630281896864322,0.001999316754601077,0.9156626506024096,0.8018728285645984,0.9142433575947462
random_forest,color+morphological,657,0.7647628501837456,0.003187410188223938,0.908433734939759,0.7949568713410974,0.9064141839152547
linear_svm,color+morphological,657,0.7198573915947094,0.0066752826221686545,0.8771084337349397,0.769083411235445,0.8765606148174035
knn,color+morphological,657,0.6759331139646546,0.007705365378154361,0.8481927710843373,0.7429320256626059,0.8468037630867385
