model,feature_mode,n_features,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_f1_macro,test_f1_weighted
gradient_boosting,all,862,0.7964203431515011,0.0034201616210879915,0.9566265060240964,0.8383051735739986,0.9554323663457062
rbf_svm,all,862,0.7972426722537516,0.006375730777049393,0.9518072289156626,0.8342425324116016,0.9509144757466774
extra_trees,all,862,0.7870204708494578,0.004242456471661993,0.9421686746987952,0.8257413489246246,0.9411726139587179
logistic_regression,all,862,0.7811702337339608,0.008408038281369767,0.9397590361445783,0.8235741511765501,0.9386721683431238
random_forest,all,862,0.7882863731364727,0.007422767899757821,0.9228915662650602,0.8087836965939741,0.9215499661741902
linear_svm,all,862,0.7559908455441067,0.002942873203019447,0.908433734939759,0.7960732018170689,0.9069817839463524
knn,all,862,0.7111134262275824,0.0029485935610558123,0.8746987951807229,0.7661250897618669,0.8731667262086972
